"id";"name";"iconPath";"packageTypeId";"pins";"width";"height"
1;"UNKNOWN";"";1;0;0.0;0.0
2;"SOIC";"";1;0;0.0;0.0
3;"";"";3;14;2.0;4.0
4;"";"";3;28;0.0;0.0
5;"";"";1;0;0.0;0.0
6;"";"";3;8;0.0;0.0
9;"";"";3;27;5.0;10.0
10;"";"";3;28;5.0;0.0
11;"";"";3;28;5.0;12.0
12;"";"";3;44;0.0;0.0
13;"";"";3;28;0.0;0.0
14;"";"";3;0;0.0;0.0
15;"";"";10;2;0.0;0.0
16;"";"";3;0;0.0;0.0
17;"";"";14;3;0.0;0.0
18;"";"";5;8;0.0;0.0
19;"";"";2;8;0.0;0.0
21;"";"";3;14;0.0;0.0
22;"";"";3;28;0.0;0.0
23;"";"";3;0;0.0;0.0
24;"";"";2;0;0.0;0.0
25;"";"";3;28;0.0;0.0
26;"";"";3;40;0.0;0.0
27;"";"";10;0;0.0;0.0
28;"";"";10;0;0.0;0.0
29;"";"";10;0;0.0;0.0
30;"";"";10;0;0.0;0.0
31;"";"";10;0;0.0;0.0
32;"";"";10;0;0.0;0.0
33;"";"";10;0;0.0;0.0
34;"";"";10;0;0.0;0.0
35;"";"";10;0;0.0;0.0
36;"";"";10;0;0.0;0.0
37;"";"";3;0;0.0;0.0
38;"";"";3;0;0.0;0.0
39;"";"";3;2;0.0;0.0
40;"";"";3;0;0.0;0.0
41;"";"";3;0;0.0;0.0
42;"";"";3;0;0.0;0.0
43;"";"";3;0;0.0;0.0
44;"";"";3;0;0.0;0.0
45;"";"";3;0;0.0;0.0
46;"";"";3;0;0.0;0.0
47;"";"";3;0;0.0;0.0
48;"";"";10;0;0.0;0.0
49;"";"";10;0;0.0;0.0
50;"";"";10;0;0.0;0.0
51;"";"";10;0;0.0;0.0
52;"";"";10;0;0.0;0.0
53;"";"";10;0;0.0;0.0
54;"";"";10;0;0.0;0.0
55;"";"";10;0;0.0;0.0
56;"";"";10;0;0.0;0.0
57;"";"";10;0;0.0;0.0
58;"";"";10;0;0.0;0.0
59;"";"";3;0;0.0;0.0
60;"";"";3;40;0.0;0.0
61;"";"";2;28;0.0;0.0
62;"";"";3;28;0.0;0.0
63;"";"";3;16;0.0;0.0
64;"";"";11;0;0.0;0.0
65;"";"";3;16;0.0;0.0
66;"";"";2;16;0.0;0.0
67;"";"";2;20;0.0;0.0
68;"";"";3;5;0.0;0.0
69;"";"";3;8;0.0;0.0
70;"";"";3;8;0.0;0.0
71;"";"";3;8;0.0;0.0
72;"";"";3;8;0.0;0.0
73;"";"";3;8;0.0;0.0
74;"";"";3;8;0.0;0.0
75;"";"";3;8;0.0;0.0
76;"";"";3;8;0.0;0.0
77;"";"";3;8;0.0;0.0
78;"";"";2;8;0.0;0.0
79;"";"";3;8;0.0;0.0
80;"";"";7;8;0.0;0.0
81;"";"";2;0;0.0;0.0
82;"";"";3;8;0.0;0.0
83;"";"";7;8;0.0;0.0
84;"";"";12;0;0.0;0.0
85;"";"";13;5;0.0;0.0
86;"";"";3;8;0.0;0.0
87;"";"";7;28;0.0;0.0
88;"";"";2;8;0.0;0.0
89;"";"";3;8;0.0;0.0
90;"";"";3;8;0.0;0.0
91;"";"";3;16;0.0;0.0
92;"";"";3;14;0.0;0.0
93;"";"";3;16;0.0;0.0
94;"";"";14;3;0.0;0.0
95;"";"";14;3;0.0;0.0
96;"";"";14;3;0.0;0.0
97;"";"";14;3;0.0;0.0
98;"";"";3;0;0.0;0.0
100;"";"";14;0;0.0;0.0
101;"";"";13;3;0.0;0.0
102;"";"";3;8;0.0;0.0
103;"";"";14;2;0.0;0.0
104;"";"";14;2;0.0;0.0
105;"";"";14;0;0.0;0.0
