"id";"name";"iconPath";"mainDirectory"
1;"UNKNOWN";"";""
25;"Supply";"icon_050970_256.png";"/home/waldo/Documents/Geeken/Projects/PowerSupply"
27;"Oven";"oven.png";""
29;"KickerKast";"kickerkast.png";""
