"id";"name";"description";"price";"categoryId";"productId";"typeId";"localDataSheet";"onlineDataSheet";"iconPath";"manufacturerId";"locationId";"amount";"amountType";"orderState";"packageId";"rating";"discourageOrder";"remark";"isSet";"dimensionTypeId"
92;"S-0603";"Capacitor Kits 0603  CER CAP KIT 50-16V 10pF-0.22uF";45.0;3;11;35;"/home/waldo/Desktop/s-0603.png";"http://www.mouser.com/ds/2/611/JDI_KITS_2012-01-242314.pdf";"JD_kits.jpg";33;362;1;0;0;15;4.0;0;"";1;3
93;"A24-HASM-450";"Antennas 2.4Ghz antennas RPSMA male";4.0;3;32;1;"";"http://www.mouser.com/ds/2/111/90000982_S-535282.pdf";"inhouse_a24hasm450_2.jpg";36;279;3;0;0;63;0.0;0;"";0;1
94;"CONREVSMA001";"RF Connectors / Coaxial Connectors RP-SMA Female PCB Mount";2.0;4;33;36;"";"http://www.mouser.com/ds/2/238/conrevsma001-707157.pdf";"CONREVSMA001.jpg";37;1;4;0;0;1;0.0;0;"";0;0
95;"nRF24Z1";"Audio Transmitters, Receivers, Transceivers 2.4GHz WIRELS AUD STREAMER";5.0;2;4;33;"";"http://www.mouser.com/ds/2/297/nRF24Z1_Product_Specification_v1.0-311.pdf";"2.ghz_chip.jpg";9;279;4;0;0;1;0.0;0;"";0;1
96;"F930G107MAA";"Solid SMD 4volts 100uF 3.2x1.6";0.0;3;11;37;"";"http://www.mouser.com/ds/2/40/f93-776559.pdf";"e-f93.jpg";30;8;70;3;0;53;0.0;1;"Max 4V is to low for tolerance..";0;5
97;"F930J476MAA";"Solid SMD 6.3volts 47uF 3.2x1.6 1206";0.0;3;11;37;"";"http://www.mouser.com/ds/2/40/f93-776559.pdf";"e-f93.jpg";30;8;40;3;0;53;0.0;0;"";0;5
98;"PCM1754DBQR";"Audio D/A Converter ICs 24-Bit 192kHz Stereo Audio DAC";2.0;2;4;38;"";"http://www.ti.com/lit/gpn/pcm1754";"TI_SOIC_16.jpg";7;281;3;0;0;83;0.0;0;"";0;1
99;"UDA1361TS/N1,112";"Audio A/D Converter ICs ADC STEREO 7712 24BIT";1.0;2;4;39;"";"http://www.mouser.com/ds/2/302/UDA1361TS-843206.pdf";"ssop16.jpg";38;289;3;0;0;83;0.0;0;"";0;1
100;"F931E105MAA";"Solid SMD 25volts 1uF 3.2x1.6  1206";0.0;3;11;37;"";"http://www.mouser.com/ds/2/40/f93-776559.pdf";"e-f93.jpg";30;8;60;3;0;53;0.0;0;"";0;5
101;"F931A106MAA";"Solid SMD 10volts 10uF 3.2x1.6 1206";0.0;3;11;37;"";"http://www.mouser.com/ds/2/40/f93-776559.pdf";"e-f93.jpg";30;8;70;3;0;53;0.0;0;"";0;5
