1,UNKNOWN,,,,,,,,
2,KiCad,KiCad-Logo1.png,.pro,0,1,,0,0,KiCadParser
3,MpLab X,mplblgo.png,.X,1,0,/opt/microchip/mplabx/v3.61/mplab_ide/bin/mplab_ide,1,0,
4,Intellij IDEA,intellij.png,.idea,1,0,/usr/local/bin/idea,0,1,
